#,color,size,content
1,256G 金色,套装五：搭配 店铺延保一年,颜色比图片上的更好看，质感非常好，整体很在线，试了一下拍摄，拍出来的画面确实很好看。
2,256G 苍岭绿色,套装一：搭配 90天碎屏保障,"外形外观：相当好看，从曲面屏回到直屏真不错
屏幕音效：好！
拍照效果：相当好，13pro拍照就是强
运行速度：新系统加新芯片杠杠滴
待机时间：很长，没有后台程序续航可以小撑一天"
3,256G 远峰蓝色,套装二：搭配 20W原充头,东西收到很快，外观特别好，屏幕清楚，运程度很好
4,256G 金色,套装一：搭配 90天品胜碎屏保障,"外形外观：两个字 高级。质感真的与众不同，我买的是金色，日落金的感觉，我认为是最好看的一个颜色。
屏幕音效：震动手感是一流，哒哒哒的感觉真的会上瘾。
拍照效果：还可以，但肯定不如安卓顶级旗舰，毕竟镜头硬件确实拉。
运行速度：很快，配合上13Pro的自适应高刷，纵享丝滑，同时还可以免除续航焦虑，十三香啊。"
5,128G 远峰蓝色,套装一：搭配 90天品胜碎屏保障,"外形外观：很棒 尺寸正合适
屏幕音效：顶级屏幕 音质也很棒
拍照效果：摄像感觉很棒 拍摄比拍照厉害
运行速度：没得说高刷新很舒服"
6,128G 金色（享一年延保）,套装一：搭配 90天碎屏保障,"很棒，是正品
买了这个12就可以退休了哈哈哈
外形外观：金灿灿的，很好看
屏幕音效：很棒，ios的音效从来没有让人失望过
拍照效果：这次13特别改进了拍照效果，肯定好评
运行速度：a15，不用问了
待机时间：大概五小时
其他特色：好看好看好看"
7,128G 远峰蓝色,套装一：搭配 90天碎屏保障,"外形外观：完美
屏幕音效：完美
拍照效果：好  清晰
运行速度：快
待机时间：长"
8,128G 远峰蓝色,套装一：搭配 90天品胜碎屏保障,"外形外观：挺好的，很圆润，也不会烙手
屏幕音效：声音很大，音效很好
拍照效果：就拍了2张还没感觉
运行速度：：相当快"
9,256G 石墨色,套装一：搭配 90天品胜碎屏保障,"外形外观：漂亮
屏幕音效：非常喜欢
拍照效果：很棒
运行速度：很快
待机时间：一天半"
10,256G 金色,套装二：搭配 20W原装闪充,发货速度很快很快，查过序列号，也没有激活过。是，前屏跟后屏也都没有问题，安全下车，放心啦。机子用起来很流畅，暂时没出现发热状态，很好用。13香。
11,256G 石墨色,套装三：搭配 12期白条免息,"外形外观：好看，大气
屏幕音效：清晰
拍照效果：好，清晰
运行速度：快"
12,256G 石墨色,套装二：搭配 20W原充头,古德古德    背面磨砂很舒服  摄像头也挺好的   颜值在线
13,256G 远峰蓝色,套装一：搭配 90天碎屏保障,没有瑕疵，用这挺舒服的，ppi好像460多，屏幕显示极其细腻，120自适应高刷体验非常棒，期待14p会有啥升级
14,256G 远峰蓝色,套装一：搭配 90天品胜碎屏保障,是真品，手机非常好用，原神能开120帧，太牛了，13香啊
15,128G 银色,套装二：搭配 20W原充头,"外形外观：选的白色，大气，特好看
运行速度：特快
待机时间：刚收到，还没正式使用"
16,256G 石墨色,套装二：搭配 20W原装闪充,手机还行，信号是真的差。
17,256G 石墨色,套装三：搭配 12期白条免息,全新正品国行未激活 手机也没问题 很好的一次购物体验
18,256G 远峰蓝色,套装二：搭配 20W原装闪充,苹果13pro收到了 外观很大气 颜色很绅士 功能强大 特别喜欢这个三个摄像头的样子 上手容易 运行速度超快
19,256G 金色（享一年延保）,套装三：搭配 12期白条免息,外观好看 很小巧 好用 很惊喜喜欢的很
20,256G 金色,套装一：搭配 90天品胜碎屏保障,"正版，已经是第二次购买了
外形外观：宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??
屏幕音效：宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买
拍照效果：真的超级喜欢，质量非常好，与卖家描述的一致！
待机时间：每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去"
